cluster,centroid_xf,centroid_yf,mean_distance_to_centroid,mean_camera_distance1,mean_camera_distance2,Z1,Z2,H1,H2,mean_camera_distance
0,254234.14314,42484.94377,0.1409647373748691,8.50716685221631,5.999903769645922,418.760368835135,418.42510869547687,0.0,0.0,8.50716685221631
0,254234.10811,42485.09768,0.0488707196567945,6.54179562646322,5.966071440389329,418.5768622377997,418.19129468949245,0.0,0.0,6.54179562646322
0,254234.08224,42485.12485,0.0359510367213132,5.587276471432364,6.037521298849621,418.4330760549099,418.1215930539322,0.0,0.0,5.587276471432364
1,254206.77816,42463.65688,0.1617093150782343,3.992872531361312,7.227620477895155,417.5258198467727,417.1201875643463,0.0,0.0,3.992872531361312
1,254206.56443,42463.59636,0.2895262427798672,4.573469039392597,8.871334004766677,417.477177314432,416.7202882231202,0.0,0.0,4.573469039392597
1,254206.30348,42463.48295,0.222444427303112,5.840224307102552,9.499410350853706,417.2994729623797,416.6116930604901,0.0,0.0,5.840224307102552
2,254147.14583,42407.46956,0.2108774143275688,5.817870689148587,9.39139744737502,415.91908853090985,415.2175399019311,0.0,0.0,5.817870689148587
2,254147.02555,42407.42492,0.2257564332162132,6.581512742667066,11.120197323458065,415.7724665102259,414.9511208873742,0.0,0.0,6.581512742667066
2,254146.82612,42407.32413,0.033143152819699,8.089015508417857,11.83127364365211,415.5610203216688,414.80967550063633,0.0,0.0,8.089015508417857
3,254130.96125,42385.72604,0.0235087434288162,4.416730045404789,6.679030149926688,416.6018999804749,416.9499685673935,0.0,0.0,4.416730045404789
3,254130.84748,42385.68621,0.1528904669510209,4.855898468824986,8.309229787999163,416.713537023644,416.87345168679104,0.0,0.0,4.855898468824986
3,254130.74238,42385.62824,0.1877831526516213,5.672588603534791,9.02617088765722,416.8945705698016,416.8929588514646,0.0,0.0,5.672588603534791
2,254147.62443,42407.56348,0.00926021349988,9.736521868106289,8.356877483393092,415.9121843791185,415.8781960058377,0.0,0.0,9.736521868106289
2,254147.58994,42407.53403,0.048942046846586,9.34482608844141,8.432895179596889,415.9111266468164,415.9383112633322,0.0,0.0,9.34482608844141
2,254147.57767,42407.51374,0.0594754031866538,8.492388347758357,8.380516859151806,415.9276861642625,415.9476254565068,0.0,0.0,8.492388347758357
4,254170.27138,42317.98504,0.0177272467515013,2.065815929914197,6.16039736003864,418.0058637259231,417.9237680200423,0.0,0.0,2.065815929914197
5,254165.59295,42311.78902,0.0018167535894257,6.007993947834092,6.610231777269868,417.7618167628719,417.8944189322696,0.0,0.0,6.007993947834092
6,254156.43718,42320.61654,0.0440800985935133,11.080627115232671,6.69018591281227,417.2582561300618,417.1171063392676,0.0,0.0,11.080627115232671
4,254170.22525,42317.99112,0.0811911539114487,3.65921820595556,8.42421367178412,417.9731177521726,417.8301603163855,0.0,0.0,3.65921820595556
5,254165.6031,42311.71873,0.0833118822212869,6.234969709915592,6.816398210672314,417.7953933398205,417.9685616815271,0.0,0.0,6.234969709915592
6,254156.87973,42320.46203,0.3771390212697563,9.73291695651912,5.761868923112118,417.2648215460369,417.0361193203812,0.0,0.0,9.73291695651912
6,254157.02938,42320.38598,0.3253478382890544,7.381221561139256,5.012629616052085,417.1625895567347,416.9938173850692,0.0,0.0,7.381221561139256
5,254165.64423,42311.58654,0.2057528140673686,6.707172879635645,7.612992445256999,417.86932899618864,418.2401324012796,0.0,0.0,6.707172879635645
4,254170.67702,42317.99643,0.5674444281372997,7.336509032478394,9.983160647605542,417.90163327296807,417.8945055030093,0.0,0.0,7.336509032478394
6,254157.29131,42320.24265,0.037859902989614,5.234788850297591,3.820558123633212,417.1110491363283,417.0442432812411,0.0,0.0,5.234788850297591
4,254170.40133,42318.00716,0.2622271483722693,8.869643420279461,10.000948963574151,417.8210134686042,418.159156213836,0.0,0.0,8.869643420279461
5,254165.7613,42311.38674,0.3236185717314748,7.476145060931391,9.40502272393696,418.0861690973156,418.6968539495013,0.0,0.0,7.476145060931391
6,254157.2737,42320.25136,0.0300568626239992,4.731388591871039,3.543376610153409,417.0016987785662,417.0529330428438,0.0,0.0,4.731388591871039
5,254165.66779,42311.51673,0.3079324374377281,7.513436653019357,9.820528558636916,418.1907162918967,418.8491673519546,0.0,0.0,7.513436653019357
4,254170.20184,42318.02075,0.0735783849766908,9.733855598634866,11.050365195532445,417.9407532096054,418.5388240721007,0.0,0.0,9.733855598634866
4,254170.16926,42318.01955,0.0423884093965545,10.003598400836614,13.135791168734109,418.2569811035856,418.9162350112826,0.0,0.0,10.003598400836614
4,254170.18611,42318.01022,0.0677284710912583,10.836851793014397,13.927734647372883,418.5461705191802,419.0414336582229,0.0,0.0,10.836851793014397
4,254170.24775,42317.97885,0.0255198119923113,13.159300942225808,12.244290211597097,418.9334216304255,418.6397853508394,0.0,0.0,13.159300942225808
4,254170.19885,42318.00331,0.0415321281017097,13.484622611059224,10.112425777606992,418.89628601691976,417.989660622279,0.0,0.0,13.484622611059224
4,254170.15829,42318.01699,0.0056448848336097,10.460695756581645,10.08260475600115,418.1820419298194,417.67200662574055,0.0,0.0,10.460695756581645
