cluster,centroid_xf,centroid_yf,mean_distance_to_centroid,mean_camera_distance1,mean_camera_distance2,Z1,Z2,H1,H2,mean_camera_distance
0,236222.0285,148473.26116,0.065963250214161,12.69871791800512,9.382412746729178,106.83726430480168,107.2718853426558,0.0,0.0,12.69871791800512
0,236222.01322,148473.24491,0.0516250570236386,11.891856580335777,8.866964680997746,106.94241798400218,107.46102331658356,0.0,0.0,11.891856580335777
0,236221.91858,148473.09539,0.2163467251575843,9.855351505662863,9.254044463371825,107.22881253463568,107.72392378820382,0.0,0.0,9.855351505662863
0,236221.85539,148472.97749,0.1528985542906771,9.068808855093122,11.076112992420788,107.52001610312236,108.07094555126956,0.0,0.0,9.068808855093122
0,236221.83885,148472.89127,0.1675777350326356,9.174125141672768,11.829441961860342,107.69124822468748,108.183251736055,0.0,0.0,9.174125141672768
1,236016.38063,148334.51451,0.6133367837481669,12.997702601499665,12.290920904232223,108.0895289214274,108.31921627118274,0.0,0.0,12.997702601499665
1,236016.70632,148334.63447,0.3224108605018446,12.566919707879808,11.781647109355696,108.16434946739844,108.3824918255702,0.0,0.0,12.566919707879808
1,236016.63555,148334.5634,0.3162611411808551,12.193110308478756,11.497115583536942,108.30099275417938,108.55367818343566,0.0,0.0,12.193110308478756
1,236016.58549,148334.53152,0.261210571989837,11.70098541365783,12.01867019880961,108.46313245899609,108.31143339242142,0.0,0.0,11.70098541365783
1,236016.57156,148334.50564,0.1998486635695452,10.968540200061817,8.206499679423622,108.48996507843412,108.20576168368277,0.0,0.0,10.968540200061817
1,236016.61643,148334.57216,0.1819911252471318,9.686425443661395,6.371596979165682,108.53890732646153,108.04636276561156,0.0,0.0,9.686425443661395
1,236016.73845,148334.39452,0.0562435490373428,6.488108491477239,5.925222958608334,107.96119062525575,108.31830276534082,0.0,0.0,6.488108491477239
1,236016.59529,148334.49209,0.1375878716649446,6.179142242059818,6.44197678790835,108.1535836043059,108.45949771996636,0.0,0.0,6.179142242059818
1,236016.57583,148334.50784,0.1212694575321448,6.159071949893794,7.813560794914376,108.34799108551104,108.7054374013066,0.0,0.0,6.159071949893794
1,236016.54707,148334.50949,0.1084567984477005,6.8972831864455655,9.260315271163009,108.56018760865044,108.81255574541716,0.0,0.0,6.8972831864455655
1,236016.62288,148334.50948,0.0781360080088141,7.527436544507421,9.733915402805785,108.65900482908808,108.86756009959127,0.0,0.0,7.527436544507421
2,235485.03961,147598.58721,0.0224955442811372,10.984805516992864,9.8553758933443,108.75075447806246,108.79917709902897,0.0,0.0,10.984805516992864
2,235485.17989,147598.74072,0.2374240665285598,10.494373699037835,9.506604019482436,108.82407299200628,108.88063045552413,0.0,0.0,10.494373699037835
3,235482.95029,147613.29126,0.2462709111834418,11.417229964495894,11.14565411017665,107.58021212847518,107.56415846180268,0.0,0.0,11.417229964495894
3,235483.15936,147613.10596,0.3528030565594193,11.064496388232364,10.776265436486444,107.6790576033559,107.71016410582595,0.0,0.0,11.064496388232364
2,235485.6145,147599.23817,0.5043266430118366,8.984917838222339,8.65538185087041,109.0478166791056,109.12277240973688,0.0,0.0,8.984917838222339
2,235485.43614,147599.02065,0.7238678515713515,9.0650949543747,7.731879347020659,109.0150087005389,109.24470611230328,0.0,0.0,9.0650949543747
3,235483.18039,147613.08481,0.4994081655049205,10.915851934953336,10.69912854028315,107.70694770795556,107.73084232742858,0.0,0.0,10.915851934953336
2,235484.96176,147598.43332,0.0580740711548405,9.655907572350356,7.349141852309108,108.81611661210889,109.21223489249834,0.0,0.0,9.655907572350356
4,235814.49371,147252.17191,0.2761031957091032,15.742683404269718,10.51164890460474,107.85009343548228,108.4337806342498,0.0,0.0,15.742683404269718
4,235814.43432,147252.21351,0.1646350395884517,14.362600926989687,8.051912740642127,108.00817750011852,108.56102209027722,0.0,0.0,14.362600926989687
4,235814.32711,147252.30991,0.0766360056438,11.599323910708256,6.675877146999322,108.44523512424657,108.6377235675806,0.0,0.0,11.599323910708256
5,238723.82111,149563.77001,0.3458548048825551,18.066369470727977,14.663294222582584,106.6641053190587,106.95856348942355,0.0,0.0,18.066369470727977
5,238723.95553,149563.76584,0.3704055905482237,17.08039821232344,16.49237259502036,106.7463365832922,106.8663249497308,0.0,0.0,17.08039821232344
5,238723.56777,149563.77719,0.3811434573095005,16.068816806407543,16.822318335396563,106.8587420345031,106.8327389617324,0.0,0.0,16.068816806407543
5,238723.64878,149563.81818,0.1481596600647849,15.643234173151804,17.10436999308995,106.93159014312587,106.80698204088428,0.0,0.0,15.643234173151804
