,nom,time,x,y,z,omega,phi,kappa,M11,M12,M13,M21,M22,M23,M31,M32,M33,roll,Pitch,Yaw
0,Job_20240422_0938_Track11_Sphere_00001.jpg,116746.20587,253484.1516765703,42046.9819034571,384.442682608,-116.6140415136,-63.2659454469,187.9680706732,-0.5358123748,-0.1024902166,-0.8380935834,-0.8437721178,0.1013015491,0.5270546551,0.0308822326,0.9895624041,-0.1407570107,-8.095540763803148,-1.7697029622404068,-122.4163738533694
1,Job_20240422_0938_Track11_Sphere_00002.jpg,116746.735601,253486.5735395828,42045.3087195372,384.6764768381,-116.6397754844,-63.0749572954,187.5397434701,-0.5375745754,-0.1065813944,-0.8364532158,-0.8428703291,0.0963305317,0.5294242505,0.0241492082,0.9896266139,-0.1416191396,-8.143940893819678,-1.3837822313083232,-122.52933830324089
2,Job_20240422_0938_Track11_Sphere_00003.jpg,116747.240566,253488.9973819139,42043.6441605808,384.9130104091,-116.6217522135,-63.201636523,187.4338553467,-0.5357633781,-0.1071487634,-0.8375420856,-0.8440672644,0.0944419769,0.5278552511,0.0225400929,0.9897473695,-0.1410393162,-8.110065763088791,-1.2915615725548335,-122.40493582620314
3,Job_20240422_0938_Track11_Sphere_00004.jpg,116747.72691,253491.4294671114,42041.9878387265,385.145237566,-116.9653989106,-63.2229980291,187.2359679071,-0.5351522941,-0.1087576389,-0.8377253715,-0.84441266,0.0971242397,0.5268150926,0.0240682742,0.9893122146,-0.1438125868,-8.270937493929663,-1.3791437073197517,-122.3647584454317
4,Job_20240422_0938_Track11_Sphere_00005.jpg,116748.198636,253493.8735915041,42040.3187712142,385.3862032555,-117.540852645,-63.2570834451,186.4030969001,-0.5332452796,-0.1156542862,-0.8380176358,-0.845750765,0.094950468,0.5250619507,0.0188445016,0.9887408633,-0.1484465899,-8.538442412509974,-1.079774320715991,-122.23140328075993
5,Job_20240422_0938_Track11_Sphere_00006.jpg,116748.65457,253496.3231388566,42038.6490454851,385.6375923716,-116.8305095947,-63.2745777491,186.8429259097,-0.5338061746,-0.111920201,-0.8381675468,-0.8454500845,0.0897248581,0.5264632984,0.016282586,0.9896581826,-0.1425186266,-8.194708479418049,-0.9329646857607632,-122.26778099309115
6,Job_20240422_0938_Track11_Sphere_00007.jpg,116749.098385,253498.7832506075,42036.9815796409,385.8835453922,-116.4594876028,-63.0959940606,187.5708039921,-0.5373553324,-0.1062654728,-0.8366342666,-0.8430613142,0.0939048693,0.5295559423,0.0222905189,0.9898936937,-0.1400485915,-8.052672110909684,-1.277258440782258,-122.51285903987919
7,Job_20240422_0938_Track11_Sphere_00008.jpg,116749.528554,253501.2174633612,42035.3210005807,386.1176815433,-116.9771317292,-62.9273966705,187.4561251381,-0.5393339555,-0.1076666544,-0.8351806847,-0.8416594137,0.1007066848,0.5305351968,0.0269873283,0.9890733315,-0.1449331879,-8.336468209355479,-1.546447768036352,-122.6516813207008
8,Job_20240422_0938_Track11_Sphere_00009.jpg,116749.954392,253503.6780857312,42033.6305432674,386.3681587512,-116.777312395,-62.9138390325,187.6103917873,-0.5397677637,-0.1063938118,-0.8350635413,-0.8413900293,0.0996630356,0.5311592021,0.0267129153,0.9893167522,-0.1433135863,-8.242596730483926,-1.5307193885259593,-122.68094658546697
9,Job_20240422_0938_Track11_Sphere_00010.jpg,116750.373336,253506.1311935689,42031.930764351,386.6116784606,-116.6910625387,-63.1173562006,187.3605264383,-0.5367261508,-0.1079844135,-0.8368180241,-0.8434661081,0.0946851436,0.5287718299,0.0221351189,0.9896333109,-0.1419011857,-8.159887525225813,-1.2683524803956963,-122.46998311037123
