cluster,centroid_xf,centroid_yf,mean_distance_to_centroid,mean_camera_distance1,mean_camera_distance2,Z1,Z2,H1,H2,mean_camera_distance
0,237091.49229,149344.37996,0.1287622171201215,0.7093559063102446,0.5273455892154367,108.36094347947044,108.82643858992805,0.0,0.0,0.7093559063102446
0,237091.57518,149344.4777,0.0264974967681813,0.5451992003766594,0.2902477631809915,108.78757477776348,109.46917449710172,0.0,0.0,0.5451992003766594
0,237091.59106,149344.49889,0.0111978325093118,0.3416040071451739,0.2378143470400858,109.32767060837044,109.61112809672724,0.0,0.0,0.3416040071451739
1,235859.3383,148730.2719,0.5210616309295563,0.610410241147968,0.7058910188449742,108.5360504340768,108.48450788771942,0.0,0.0,0.610410241147968
1,235859.32294,148730.48851,0.4218416563525808,0.4068965762588925,0.6928144098942345,108.64593162557362,108.41499705469305,0.0,0.0,0.4068965762588925
1,235859.34066,148730.25451,0.5035497607485228,0.6770813164452208,0.9614998509326944,108.5000746412858,108.2561046105246,0.0,0.0,0.6770813164452208
1,235859.29736,148730.82589,0.0005717999457032,0.1503940540729105,0.6265471934874705,108.78036017000794,108.3616260444951,0.0,0.0,0.1503940540729105
2,236193.84124,148610.39717,0.5646423055547226,2.499473300562092,7.931736699168495,109.974385681397,112.4622105198158,0.0,0.0,2.499473300562092
2,236193.93386,148610.48977,0.4811734922593296,3.0859211972714884,9.854886104879874,110.17195483300064,114.26033213581442,0.0,0.0,3.0859211972714884
2,236193.74498,148610.30844,0.4503138880945405,5.101481738333392,11.163986752170969,110.86314180053796,115.05363300059618,0.0,0.0,5.101481738333392
3,235816.17739,148517.35305,2.9103830456733704e-11,0.4562611133618512,0.1647016273774544,109.05984743597487,108.82636190670028,0.0,0.0,0.4562611133618512
3,235816.18158,148517.44771,0.1469084341617765,0.9944416040333184,0.8141069034945723,109.07475516269793,109.38463343187355,0.0,0.0,0.9944416040333184
3,235816.20329,148517.50713,0.0721376540936537,0.5227972194021182,0.855881579576037,109.00423996676255,109.3968907531652,0.0,0.0,0.5227972194021182
3,235816.21206,148517.55627,0.0164315539194015,0.3708590706691114,1.0663142108816812,108.85537470795684,109.56960502910542,0.0,0.0,0.3708590706691114
4,235765.77764,148218.0651,0.0,0.0221510407226511,4.136900160877664,109.88060012849677,110.988799687319,0.0,0.0,0.0221510407226511
4,235765.85392,148218.13973,0.1271862691361125,1.1575756346190813,6.293156326802742,110.18517689055132,111.93758665431268,0.0,0.0,1.1575756346190813
4,235765.8226,148218.1133,0.0,0.0880626556030567,8.301790529806492,109.89649184663634,112.83491824547194,0.0,0.0,0.0880626556030567
5,235749.16629,148202.38699,0.0,1.6378142763395198,5.637489095511293,110.97921156491924,113.24490056332849,0.0,0.0,1.6378142763395198
5,235748.84508,148202.06488,0.4548930319128053,1.1829212444267143,7.173919000748455,110.72523934596086,114.0579728526874,0.0,0.0,1.1829212444267143
5,235748.71733,148201.94666,0.4287737791188571,1.5802751095808067,9.593164557557056,110.9521748927942,115.38326790515292,0.0,0.0,1.5802751095808067
6,236062.09306,148421.07864,0.0020636052606881,0.0158918124561127,3.6021292015509805,108.89119446347118,111.13074489396868,0.0,0.0,0.0158918124561127
6,236062.07864,148420.91694,0.2164511520660217,1.048965911438219,3.735116169399575,109.53751611479548,111.31261531177476,0.0,0.0,1.048965911438219
6,236062.06075,148420.71635,0.3637254719199853,1.445285035083561,3.606820191553779,109.78647849546137,111.25078694487364,0.0,0.0,1.445285035083561
6,236062.02843,148420.35406,0.2404358516914216,2.87467825771101,3.6115111815565775,110.68176252745155,111.37082899577862,0.0,0.0,2.87467825771101
7,236062.38147,148423.92514,0.0871622184728844,6.382424930789898,3.541636003292316,112.85591637605656,110.405338128897,0.0,0.0,6.382424930789898
7,236062.33845,148423.48197,0.1895858311244546,4.027310306386849,1.0219632875179634,110.91956661018092,109.27424499354105,0.0,0.0,4.027310306386849
7,236062.3365,148423.35173,0.1993655472105331,2.9664647225519465,0.4262083476138025,110.17496357784948,109.0013502344624,0.0,0.0,2.9664647225519465
8,235927.22804,148336.15014,0.0,1.012015283255253,0.3858108140812789,106.76694994136584,108.17500087686732,0.0,0.0,1.012015283255253
8,235926.8137,148336.02925,0.4372296939356206,1.0804763295892417,0.890306214955832,106.09970743324514,107.5312010323612,0.0,0.0,1.0804763295892417
8,235927.01356,148336.1175,0.289263861460005,0.7950673871558186,0.8003236372183115,107.21412968932502,107.6354371745183,0.0,0.0,0.7950673871558186
9,235533.44179,147077.36018,0.2037885654720184,0.8318079553430341,0.8589596921194146,112.20851727970144,112.41406881147302,0.0,0.0,0.8318079553430341
9,235533.02052,147077.44313,0.2863034707361085,1.2702370715762905,0.6620524879158144,112.56972405138792,112.19878756107956,0.0,0.0,1.2702370715762905
9,235532.56556,147077.50075,0.3707790250172334,1.5484258593612277,0.4119539425901011,112.80895819286845,111.95644883473037,0.0,0.0,1.5484258593612277
10,235531.96631,147077.45944,0.3901307826822251,1.4661127001032486,0.490159635805679,112.77056023324708,111.97948820512175,0.0,0.0,1.4661127001032486
10,235531.5058,147077.38037,0.2841707892062897,1.2936945534441575,0.5953804732828237,112.64462322701328,112.05108057041954,0.0,0.0,1.2936945534441575
10,235531.09612,147077.25453,0.2106878036371169,1.2346420874728583,0.6320476442398404,112.5612279112296,112.09110909344514,0.0,0.0,1.2346420874728583
10,235530.93499,147077.19672,0.1331455949315559,1.1026495315279945,0.6047575736703513,112.48705831501016,112.11612064478754,0.0,0.0,1.1026495315279945
10,235531.05144,147077.23835,0.2993864969892134,0.8250550372560447,0.8387882404370971,112.27309927513664,112.611880115437,0.0,0.0,0.8250550372560447
10,235531.08399,147077.29034,0.1632976369045708,0.3130678799243458,0.3204846969410719,111.84313355323516,111.90504398137053,0.0,0.0,0.3130678799243458
