cluster,centroid_xf,centroid_yf,mean_distance_to_centroid,mean_camera_distance1,mean_camera_distance2,Z1,Z2,H1,H2,mean_camera_distance
0,236033.06847,149272.86278,0.252506539346821,13.764412823257908,9.486061407542094,109.15828421324596,109.42919984590183,0.0,0.0,13.764412823257908
0,236033.04575,149272.84806,0.1610727000338494,12.671150351646306,7.5282096574910495,109.22604624967364,109.56087267567403,0.0,0.0,12.671150351646306
0,236032.84114,149272.70701,0.3803368851103424,9.258220046941451,8.368073873497211,109.47507438038546,109.79243179551436,0.0,0.0,9.258220046941451
0,236032.65751,149272.48465,0.3726894452703487,7.783695824900943,9.47457061462211,109.59222284415232,110.1302363063971,0.0,0.0,7.783695824900943
0,236033.2957,149272.8389,0.4245802266973419,9.029515711495897,12.986812715179449,110.00274536613502,110.65438354510002,0.0,0.0,9.029515711495897
0,236033.03797,149272.60628,0.0026292200384245,10.836606078682616,12.775602208989485,110.18729452172155,110.638530698922,0.0,0.0,10.836606078682616
1,236240.10021,148620.02759,0.1437525984216937,11.292892887849597,7.351321963616026,108.36579153681856,108.76264430284982,0.0,0.0,11.292892887849597
1,236240.06755,148619.96212,0.1114544908404692,10.233093118910984,6.417935737875603,108.47099243263568,108.93921988871254,0.0,0.0,10.233093118910984
1,236240.0071,148619.88259,0.0032811179465386,8.046850395075387,5.738026848221502,108.6621061404669,109.04159899561078,0.0,0.0,8.046850395075387
1,236240.02776,148619.79926,0.0374735141770398,9.895385894155496,5.98809504756421,108.41804293414266,108.9482327535795,0.0,0.0,9.895385894155496
1,236240.00367,148619.76771,0.0114765862203871,7.868226557520256,5.467148098397372,108.73639217376456,109.00460259327524,0.0,0.0,7.868226557520256
2,235940.71515,148621.80108,0.1284198221401143,12.724754280934214,8.23043186228288,107.07640544377688,107.37780995263512,0.0,0.0,12.724754280934214
2,235940.64639,148621.89828,0.1333617019682809,11.480837588238634,6.281687253595148,107.168082850159,107.62990909971408,0.0,0.0,11.480837588238634
2,235940.59921,148621.99358,0.0499320854923902,9.090907472459431,5.198420105518087,107.3216046171098,107.7544999340325,0.0,0.0,9.090907472459431
2,235940.55559,148621.55638,0.1150496493136868,10.814956674952269,6.3927131932108345,107.4523314694599,107.706039586698,0.0,0.0,10.814956674952269
1,236240.0317,148619.83828,0.0660778525919625,12.863382707521424,8.32286994908423,108.11940013123886,108.77919471565762,0.0,0.0,12.863382707521424
1,236240.02413,148619.83024,0.042974728665874,11.717617220297107,6.675055715773337,108.2848733686205,109.00272707761656,0.0,0.0,11.717617220297107
1,236240.03005,148619.85023,0.046122556339335,9.36624567175363,5.805168973988034,108.6088588636107,109.13145915505764,0.0,0.0,9.36624567175363
3,237263.524,145449.54765,0.1255435908452755,8.583706078020207,5.903599831560313,114.58721550859283,114.87393045689124,0.0,0.0,8.583706078020207
4,237274.37381,145441.57061,0.0,8.590043431680675,5.969274005145207,114.01174822385192,114.3830386618769,0.0,0.0,8.590043431680675
4,237274.46986,145441.62792,0.0955184055521376,7.65561810458504,5.2912657508277245,114.15580772711974,114.5059015264673,0.0,0.0,7.65561810458504
4,237274.54538,145441.68941,0.125641898486213,7.207617686381247,5.665601017505008,114.23375777638236,114.62390113008642,0.0,0.0,7.207617686381247
5,237293.78321,145461.71923,0.1007106579633256,9.25025092094466,5.950253633317416,115.89868169753156,116.27455887360072,0.0,0.0,9.25025092094466
5,237293.68519,145461.79799,0.1445556953902049,8.560485239265676,5.690037955248642,116.00423152227889,116.43360303835362,0.0,0.0,8.560485239265676
5,237293.58488,145461.82103,0.0849422629623172,6.856458047968853,5.46080864462595,116.20842769610324,116.52701812538989,0.0,0.0,6.856458047968853
3,237263.20925,145449.58173,0.1650970553976873,14.861607014521462,11.68454030820612,114.33824725661236,114.40138091561384,0.0,0.0,14.861607014521462
3,237263.27782,145449.52645,0.1402616770135047,14.156857767543944,10.563402310199956,114.348449999252,114.46791868170344,0.0,0.0,14.156857767543944
3,237263.39161,145449.47011,0.003609132670894,12.634464453143709,10.047095384049358,114.35451446698376,114.49572942679568,0.0,0.0,12.634464453143709
4,237274.55116,145441.57295,0.0930147561928067,11.44209610438448,9.390138849178188,113.79973209264509,114.09410376075688,0.0,0.0,11.44209610438448
4,237274.60832,145441.62526,0.1016925602530554,11.01000622729574,9.25365390634685,113.86990558577902,114.1994253748338,0.0,0.0,11.01000622729574
4,237274.67903,145441.77836,0.0942578004396633,9.825722068249414,9.747463188525408,114.08343602497432,114.36000066058917,0.0,0.0,9.825722068249414
4,237274.6789,145441.84721,0.0836447262638404,9.315676535194712,9.988822161288926,114.19822407194046,114.41325565191252,0.0,0.0,9.315676535194712
6,239076.47878,149618.65907,0.4567289706654306,19.61556735860336,14.32460816846117,106.80996739848138,107.19601554321798,0.0,0.0,19.61556735860336
6,239076.31574,149618.76486,0.3591765236901554,18.09840594283644,11.579919996547169,106.92720564938452,107.4348853678959,0.0,0.0,18.09840594283644
6,239076.2322,149618.83066,0.3256720682596302,14.048303977105212,7.865789412393933,107.2162131589994,107.73169714830016,0.0,0.0,14.048303977105212
6,239076.01037,149619.00155,0.0320207575330155,11.170501748826526,6.387472825208154,107.49149521473328,107.85566959330754,0.0,0.0,11.170501748826526
7,239222.15908,149595.63866,0.0768788307895616,6.748481301207875,3.912605894833837,112.68477865985426,112.93395942472344,0.0,0.0,6.748481301207875
8,239812.87393,151446.97139,0.060258380563485,10.530378890175612,5.92897812848657,113.7152888174379,114.10084999909976,0.0,0.0,10.530378890175612
8,239812.95067,151446.8432,0.158447815332843,9.228118418102571,6.798093083030545,113.83551025345172,114.496600755793,0.0,0.0,9.228118418102571
8,239813.00003,151446.73229,0.170781458165612,6.757700065345602,6.647025106225899,114.05438227662798,114.66343636926534,0.0,0.0,6.757700065345602
6,239076.42097,149618.71956,0.499861962257177,16.520717189216704,10.595025020292368,107.51599746912336,107.85430490969418,0.0,0.0,16.520717189216704
6,239076.13742,149618.89635,0.3700895554729109,15.00067406148858,8.024839041482775,107.61219592263252,107.98289571849104,0.0,0.0,15.00067406148858
6,239075.89056,149619.09775,0.0519647518938123,11.287355866044608,5.47251152951178,107.7705685219296,108.12669395032238,0.0,0.0,11.287355866044608
6,239075.85889,149619.12402,0.031154082922884,8.658902870340201,4.354634046101428,107.97782810188596,108.18244296505962,0.0,0.0,8.658902870340201
7,239222.10122,149595.76868,0.0540566305608996,4.047640692642744,3.939144364262436,113.00299766561032,113.11556852428804,0.0,0.0,4.047640692642744
6,239076.5214,149618.6397,0.5487979296820616,16.013750650947582,10.891715780063764,107.2913696842432,107.6551146124387,0.0,0.0,16.013750650947582
6,239076.31195,149618.76868,0.3853232119777637,14.486936161701072,8.257041143669618,107.40550411585838,107.84026811320406,0.0,0.0,14.486936161701072
6,239076.04188,149618.96646,0.0506754834430935,11.566974095145644,6.704355019521228,107.5974080668908,107.96887094124776,0.0,0.0,11.566974095145644
7,239222.11959,149595.72083,0.0913784168630368,4.828189088173606,5.119964310558255,113.04444805918048,113.19210545475477,0.0,0.0,4.828189088173606
9,235823.44088,149122.24992,0.28652495249213,8.39377943678344,5.0415732950983,108.23709746503644,108.16858212395208,0.0,0.0,8.39377943678344
9,235823.78652,149122.2606,0.0062468921457854,5.597222731822828,5.320905722551761,108.0993844929987,108.32778042351607,0.0,0.0,5.597222731822828
9,235823.86866,149122.29855,0.1237781600139703,5.640163825315258,5.786299994106025,108.1533806089149,108.38156962018763,0.0,0.0,5.640163825315258
9,235823.88744,149122.36556,0.1218953994269615,5.428149175478565,6.014340139264811,108.265640984673,108.41918574247828,0.0,0.0,5.428149175478565
