cluster,centroid_xf,centroid_yf,mean_distance_to_centroid,mean_camera_distance1,mean_camera_distance2,Z1,Z2,H1,H2,mean_camera_distance
0,236138.37209,148817.05508,0.2678779871278733,12.338141172506916,5.667905224449037,107.31454150598952,107.760794468922,0.0,0.0,12.338141172506916
0,236138.17758,148817.0899,0.2420526466791959,10.107125085064284,5.23586654976931,107.46096439833848,107.8086829921873,0.0,0.0,10.107125085064284
1,236430.66112,148662.40704,0.124041421567181,16.148698155404578,11.064598519882352,110.28873844379848,110.74513107770304,0.0,0.0,16.148698155404578
1,236430.57989,148662.5236,0.1447514043741407,14.735017285429205,8.811341083474025,110.41396177371269,110.79888554092504,0.0,0.0,14.735017285429205
1,236430.52311,148662.62354,0.0751230813843324,12.04054831072228,7.5795397036779155,110.63878312348176,110.86590545921295,0.0,0.0,12.04054831072228
2,236077.01001,149073.68565,0.091589055640168,18.70619149301152,11.18098014979,112.3781284632154,112.82312018429928,0.0,0.0,18.70619149301152
2,236077.02808,149073.97102,0.2901166270605392,16.537339222971323,8.69814237134357,112.53386054841664,113.08180529966955,0.0,0.0,16.537339222971323
2,236077.06503,149074.16107,0.2348298578069194,11.897209431823509,7.370075179454972,112.83246435567098,113.20792998985394,0.0,0.0,11.897209431823509
3,235664.59806,148808.02997,0.0,11.56377510955774,7.752976675550803,108.96054311453793,109.08662333477312,0.0,0.0,11.56377510955774
3,235664.8034,148808.1289,0.1842179322687731,9.810935819278246,5.651959208912318,109.04198584538048,109.33426107589946,0.0,0.0,9.810935819278246
4,235690.59871,148756.31826,0.0091061750594363,8.268717266309155,9.172330624263289,109.9891823907496,109.821027055843,0.0,0.0,8.268717266309155
4,235690.61132,148756.2509,0.0608866604471253,8.496742489164674,9.829734364360132,109.94022219815928,109.66402783297684,0.0,0.0,8.496742489164674
4,235690.56821,148756.28535,0.1163955236161675,9.246436018180876,10.68958244494252,109.8149107996243,109.61097722887504,0.0,0.0,9.246436018180876
3,235665.16882,148808.39427,0.1850110630789589,8.99401811667651,4.617993970779872,109.12977816950104,109.49860737968842,0.0,0.0,8.99401811667651
3,235665.34755,148808.41284,0.0,6.644344400161318,3.877127107252767,109.3293081318938,109.5837350472814,0.0,0.0,6.644344400161318
4,235690.72023,148756.44029,0.0230971158998846,8.568734361635698,10.336181655203596,109.89638240296676,110.32399993523796,0.0,0.0,8.568734361635698
4,235690.71584,148756.53279,0.1093297662167688,9.107644951993594,12.313082865333236,109.99905419882184,110.55354062832578,0.0,0.0,9.107644951993594
4,235690.70969,148756.59084,0.0931342489680598,10.640740869794683,15.47170622403832,110.33055733800067,110.71346943790444,0.0,0.0,10.640740869794683
4,235690.58935,148756.80233,0.210275701798616,13.54707237415724,19.21241377726197,110.6022067974551,111.04749706259317,0.0,0.0,13.54707237415724
4,235690.69728,148756.66932,0.3514209401358673,16.667749466143004,22.732549285218795,110.86116750055528,111.56047031422852,0.0,0.0,16.667749466143004
4,235690.73564,148756.62731,0.3308477309275867,20.188645529786616,17.26380745243436,111.14386664284368,110.73310666742856,0.0,0.0,20.188645529786616
