cluster,centroid_xf,centroid_yf,mean_distance_to_centroid,mean_camera_distance1,mean_camera_distance2,Z1,Z2,H1,H2,mean_camera_distance
0,235824.89735,148703.02655,0.5761225146692082,6.559011071844019,8.2128929095928,103.77142811279884,104.32029790765304,0.0,0.0,6.559011071844019
0,235824.72966,148702.66182,0.1739753940698393,6.828059438763037,11.018477842063136,103.95814192901824,104.3234559310843,0.0,0.0,6.828059438763037
0,235824.78795,148702.79079,0.0327671369706458,8.782542275125932,14.385784152602817,104.19358600691052,103.9697466360612,0.0,0.0,8.782542275125932
0,235824.78405,148702.78273,0.0254797210084983,11.971968858563288,18.16139611406067,104.25378417054414,104.66718169134327,0.0,0.0,11.971968858563288
0,235824.79106,148702.78759,0.0441912892431212,14.34001098276672,19.42388736552166,104.22548820875436,104.81671060649622,0.0,0.0,14.34001098276672
1,235854.49107,148715.2093,0.3771855156534501,8.256890252649828,5.049805626465312,103.43910312689978,104.79409093430952,0.0,0.0,8.256890252649828
1,235854.42408,148715.19401,0.2458348393892057,7.410167899831822,5.48604426424059,103.80668319166443,104.71435179689304,0.0,0.0,7.410167899831822
1,235854.50326,148715.04875,0.4365150038320521,5.6158624546672815,6.866119156045583,104.2369066822325,104.7747328906272,0.0,0.0,5.6158624546672815
1,235854.38227,148714.94104,0.293311646331946,5.019642656738387,10.350174245652548,105.07586861549493,104.18491154279666,0.0,0.0,5.019642656738387
2,235885.52057,148723.5691,0.3592977102020177,10.227070465357372,8.010349749192804,102.9617975952226,103.28250141649234,0.0,0.0,10.227070465357372
2,235885.28011,148723.81126,0.4154123829770279,9.31035815370864,8.145958361349757,103.27499214365618,103.79701763428449,0.0,0.0,9.31035815370864
2,235885.13906,148724.11372,0.1958720533727104,7.642274202755261,7.824428108105509,103.70152892533896,104.14878908799604,0.0,0.0,7.642274202755261
3,235911.75319,148733.26047,0.0852909085582969,8.898828448838161,6.655364241754389,103.3947513311346,103.73349045451457,0.0,0.0,8.898828448838161
3,235911.70904,148733.34083,0.1225484117540971,8.239353947721034,7.247837775289725,103.5533435445077,103.9300762796184,0.0,0.0,8.239353947721034
3,235911.72345,148733.36937,0.1702506451943953,6.798709770877944,7.36382853907518,103.70994239835066,104.02554859418558,0.0,0.0,6.798709770877944
4,235937.86347,148742.63839,0.0962898067676528,25.731360596294024,18.0647831520188,101.69251151336574,101.32279768496174,0.0,0.0,25.731360596294024
4,235937.76083,148742.58384,0.3217801578183848,20.81347043030678,13.37802194718965,101.32109348671014,102.64922648606851,0.0,0.0,20.81347043030678
4,235937.85768,148742.59932,0.3764027257646744,16.964775646295084,10.631001078065562,101.61950847298078,103.18404368296544,0.0,0.0,16.964775646295084
4,235938.14345,148742.52373,0.0340239515872948,14.121221402247912,8.955737939399842,102.3172213356956,103.31265474180856,0.0,0.0,14.121221402247912
4,235938.01245,148742.59932,0.1726349130673921,10.690171998308816,7.171693006682422,103.12767648882546,103.81551409816232,0.0,0.0,10.690171998308816
4,235937.88523,148742.72241,0.1297418684446624,7.985458154454485,7.297154656425505,103.70229877707118,104.3373159697304,0.0,0.0,7.985458154454485
4,235937.84502,148742.81856,0.0051607649842941,6.577156758346772,7.38156584388308,104.0129211182071,104.5556212514524,0.0,0.0,6.577156758346772
5,236059.11413,148788.15264,0.1176936703252799,9.61185681403138,4.21616621781118,103.58923291628832,106.81080816590762,0.0,0.0,9.61185681403138
6,236059.08008,148785.7361,0.0538397342270259,6.527760275823332,8.155190379059677,103.91328577978692,105.63962216820644,0.0,0.0,6.527760275823332
5,236059.12079,148788.90464,0.2456688109183442,3.464142310551978,11.809893249748203,107.17787477455856,106.09237218679556,0.0,0.0,3.464142310551978
7,236061.16343,148790.0192,0.0725656084663538,4.147661135871388,13.426174949237732,107.36058701256424,106.88575970544892,0.0,0.0,4.147661135871388
8,236119.9183,148807.17465,0.2928303340650092,8.294030768346078,6.919466822654645,103.6697452779168,104.37886073256983,0.0,0.0,8.294030768346078
8,236119.84728,148807.23022,0.2099401108304115,7.859641097598041,7.774200798423852,103.90198604408177,104.6146328394894,0.0,0.0,7.859641097598041
8,236119.78838,148807.38987,0.0800140397714122,6.691476304263108,7.888044127161969,104.70544207501422,104.72743808899688,0.0,0.0,6.691476304263108
9,236152.56969,148819.01228,0.0211015543503688,6.9680162625704005,5.99702560167963,103.24858353349902,103.53526870862436,0.0,0.0,6.9680162625704005
9,236152.52125,148819.18153,0.2281661380046262,6.520246335416469,7.367154981911166,103.4888205664434,104.17152178201398,0.0,0.0,6.520246335416469
9,236152.55882,148819.31825,0.2500534349591333,5.432266976163916,7.804262704796218,103.75139524788403,104.4524186191572,0.0,0.0,5.432266976163916
10,236224.43094,148817.16119,0.1738053565733736,23.381146371341227,19.44008984781044,102.70729587205142,102.42945273979667,0.0,0.0,23.381146371341227
10,236223.35839,148817.68029,0.4787499803329653,15.213382068671748,15.119352806553644,100.90901128009163,100.60721732506931,0.0,0.0,15.213382068671748
11,236320.79247,148714.27347,0.2766758426074734,26.93209123201659,30.11795246979196,103.68125222497504,106.01845627447916,0.0,0.0,26.93209123201659
10,236224.48178,148817.57428,0.1513888059357571,15.919688629918804,11.656305972023176,100.0200016573313,103.02328774608742,0.0,0.0,15.919688629918804
10,236224.54971,148817.32394,0.5579690658227601,12.457853944189118,11.1191545378957,103.07169456422548,104.06340297047836,0.0,0.0,12.457853944189118
10,236224.45254,148817.53592,0.5521602110361399,11.951421524098189,11.689439811233369,102.89857195372852,104.12134089480034,0.0,0.0,11.951421524098189
10,236224.26275,148816.9275,0.2289730912078552,10.593034212590393,13.113484491854893,103.8702564069431,102.07091849046962,0.0,0.0,10.593034212590393
10,236224.88813,148817.24409,0.4383040179567729,12.591347715839635,16.967054210048726,102.95951071134768,100.9105680595992,0.0,0.0,12.591347715839635
10,236224.90164,148817.2716,0.3843303679466119,16.227846213503504,20.350313558952084,100.69427188997108,105.88626669500054,0.0,0.0,16.227846213503504
12,236138.84701,148881.43442,0.482087712430538,13.695206641748213,10.8735814923618,102.63460770707631,103.03866303063737,0.0,0.0,13.695206641748213
12,236138.65823,148881.50234,0.3722225883127038,13.193654563994384,10.711900724927522,102.63963111527984,103.15331380736444,0.0,0.0,13.193654563994384
12,236138.41461,148881.5377,0.1036101515630161,11.550067298509145,11.294140508994069,102.80760038291608,103.32740353305331,0.0,0.0,11.550067298509145
12,236138.86271,148881.67972,0.4710268050631507,10.242291255902328,12.224326292047618,103.304143090992,103.0799458135144,0.0,0.0,10.242291255902328
12,236139.01768,148881.89777,0.348108179217404,10.226703026999356,14.557390510509222,103.66387891726647,102.62205187626154,0.0,0.0,10.226703026999356
25,236123.80754,148926.7467,0.0162833992327175,10.941296266775453,10.222169630954308,102.59696700812648,103.1113666708435,0.0,0.0,10.941296266775453
13,236117.2969,148951.45221,0.4084139833557483,9.725133837865844,8.27783850101244,104.15824576177846,104.3146987642803,0.0,0.0,9.725133837865844
13,236117.03372,148951.40589,0.3582056377937753,9.713882676785918,9.266210358075096,104.0383536355218,103.04815131952311,0.0,0.0,9.713882676785918
13,236117.14402,148951.4763,0.4369313029510504,8.778978992554215,9.21578285112128,104.10700830158513,103.00063378815535,0.0,0.0,8.778978992554215
14,236845.88411,149198.8633,0.4695121168486349,15.886501512025722,12.140427732335787,100.91604239413437,101.61130305501904,0.0,0.0,15.886501512025722
14,236845.75867,149198.59539,0.4192707079233825,15.249115379298877,11.114712445693613,100.943531685133,101.64200677276216,0.0,0.0,15.249115379298877
14,236845.54423,149198.28236,0.0397439696259804,13.663751841221142,10.780915726304524,100.94956825718712,101.59193326233554,0.0,0.0,13.663751841221142
