cluster,centroid_xf,centroid_yf,mean_distance_to_centroid,mean_camera_distance1,mean_camera_distance2,Z1,Z2,H1,H2,mean_camera_distance
0,253696.77529,41867.31601,0.2629849019609238,7.632405726242698,6.992332602537744,381.893496325064,381.9114783484691,1.3393348416232558,1.7760151049938957,7.632405726242698
0,253696.59617,41867.38081,0.29045888233916,7.668306668831337,7.739637728845964,381.7654318986704,381.5438411356765,1.498525925801407,1.7297907498538534,7.668306668831337
0,253697.11386,41867.27814,0.6575348854258951,6.624726572968657,8.493475019307866,382.0666344186144,381.26999634514686,1.6174516534886043,1.728361794964837,6.624726572968657
1,253669.27273,41773.58419,0.3847927479451206,7.87272835182971,5.576754075590639,376.9520727181498,377.1279671554392,1.702938916871476,1.924881380372792,7.87272835182971
1,253669.41177,41773.49948,0.2931955088298435,7.465441763047238,5.574157096137509,376.9022124139397,376.8525021439211,1.7997331178266978,1.8435367805983616,7.465441763047238
1,253669.56746,41773.30567,0.0508382687617368,6.416275791884018,5.646473797480053,376.8799150077605,376.6053637213138,2.0282614324193027,1.8934014758736504,6.416275791884018
2,253700.73367,41779.72004,0.2411790813374034,14.735550994963914,7.754254596986896,376.39359642041177,375.8526332877388,0.4796120220461724,0.5794178522197245,14.735550994963914
2,253700.67989,41779.77023,0.1852105582305642,12.917141224260256,6.201328998772444,376.32386963446606,376.7895882920447,0.4971620540251884,1.17875164111802,12.917141224260256
2,253700.80119,41779.65324,0.2162037498743863,8.471687779961167,5.247095649149274,376.197416768549,377.1048485899922,0.7870488406204205,1.6005027365862463,8.471687779961167
2,253700.81785,41779.47702,0.2984384147749743,5.800033479152642,6.207344080625084,376.4287637747274,376.933137060338,1.3009948910790663,1.8827639040270367,5.800033479152642
2,253700.78162,41779.22807,0.054456979781651,5.382207185284788,6.851734116916681,377.16081370870126,376.5919397687561,1.9830888485546228,1.9751677733566169,5.382207185284788
3,253777.60994,41787.28287,0.5259188545602028,10.02447919442286,8.870445403196058,377.5047253082457,376.9828802980946,1.8412018641944163,1.4975504069269905,10.02447919442286
3,253777.52279,41787.41792,0.3511718828598515,9.57556569203153,8.69319584735721,377.4458213883001,377.39530454378695,1.7302101029221155,1.7816232693125826,9.57556569203153
3,253777.44305,41787.51836,0.2236331202375097,8.726945261065776,8.880231118688881,377.0500092195653,378.208457849591,1.401619833080071,2.52422467814333,8.726945261065776
3,253777.41317,41787.3249,0.1597973923322967,8.643059271975892,9.228979262394343,377.4752775638679,378.3369808063447,1.9096277553791168,2.7976018061658494,8.643059271975892
4,253850.00429,41789.88391,0.2272738230836675,6.361389808821859,5.788734276166276,378.2888460621453,377.8052023149805,1.838133514392723,1.6003662460245447,6.361389808821859
4,253850.01109,41789.66867,0.0984795494910739,5.78047434365115,7.355881704899044,377.7609988078711,377.42242105991255,1.6638558948786013,1.6289285886246443,5.78047434365115
4,253849.98265,41789.58929,0.0593877730473916,5.858344280370177,7.9727575928395025,377.5764872374066,377.2833576944367,1.719882048275643,1.6313943109867513,5.858344280370177
5,254158.07883,41928.99543,0.1994135283661322,8.277609391176291,7.214822696614703,382.6994270278028,383.11905170928094,1.3624973841314736,1.8504579703962307,8.277609391176291
